case_number,court,case_type.x,filing_date,id,court_system,tracking_number,document_type,issued_date,issued_date_str,case_status,case_disposition,year
0B01556513,Baltimore City District Court 1400 North Ave.,CR,2003-09-14,416552,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000143690,STATEMENT OF CHARGES,2003-09-14,09/14/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01556597,Baltimore City District Court 300 East Madison,CR,2003-09-19,697533,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001152692,STATEMENT OF CHARGES,2003-09-19,09/19/2003,CLOSED,TRIAL,2003
0B01556891,Baltimore City District Court 1400 North Ave.,CR,2003-09-18,697629,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003143271,STATEMENT OF CHARGES,2003-09-18,09/18/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01557150,Baltimore City District Court 1400 North Ave.,CR,2003-09-13,413034,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007129200,STATEMENT OF CHARGES,2003-09-13,09/13/2003,CLOSED,TRIAL,2003
0B01563233,Baltimore City District Court 700 Patapsco Ave.,CR,2003-09-30,698178,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036005138702,STATEMENT OF CHARGES,2003-09-30,09/30/2003,CLOSED,TRIAL,2003
0B01564227,Baltimore City District Court 1400 North Ave.,CR,2003-10-31,698697,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001161615,STATEMENT OF CHARGES,2003-10-31,10/31/2003,CLOSED,TRIAL,2003
0B01564346,Baltimore City District Court 1400 North Ave.,CR,2003-11-06,698606,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036062110453,STATEMENT OF CHARGES,2003-11-06,11/06/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01565711,Baltimore City District Court 700 Patapsco Ave.,CR,2003-10-18,698444,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000151622,STATEMENT OF CHARGES,2003-10-18,10/18/2003,CLOSED,JURY TRIAL PRAYED,2003
0B01565928,Baltimore City District Court 1400 North Ave.,CR,2003-10-15,698448,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036064107505,STATEMENT OF CHARGES,2003-10-15,10/15/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01566040,Baltimore City District Court 1400 North Ave.,CR,2003-10-22,698443,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006124081,STATEMENT OF CHARGES,2003-10-22,10/22/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01567678,Baltimore City District Court 300 East Madison,CR,2003-10-31,418346,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036060106154,STATEMENT OF CHARGES,2003-10-31,10/31/2003,CLOSED,TRIAL,2003
0B01567958,Baltimore City District Court 5800 Wabash Ave,CR,2003-10-29,405384,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036008106536,STATEMENT OF CHARGES,2003-10-29,10/29/2003,CLOSED,TRIAL,2003
0B01568364,Baltimore City District Court 1400 North Ave.,CR,2003-10-23,698308,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007135441,STATEMENT OF CHARGES,2003-10-23,10/23/2003,CLOSED,TRIAL,2003
0B01568469,Baltimore City District Court 1400 North Ave.,CR,2003-10-31,421272,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000154492,STATEMENT OF CHARGES,2003-10-31,10/31/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01569372,Baltimore City District Court 1400 North Ave.,CR,2004-06-04,429869,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018104764,STATEMENT OF CHARGES,2004-06-04,06/04/2004,CLOSED,TRIAL,2004
0B01569750,Baltimore City District Court 1400 North Ave.,CR,2003-11-01,402017,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036061109755,STATEMENT OF CHARGES,2003-11-01,11/01/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01569995,Baltimore City District Court 1400 North Ave.,CR,2003-11-03,406321,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036018104356,STATEMENT OF CHARGES,2003-11-03,11/03/2003,CLOSED,TRIAL,2003
0B01570051,Baltimore City District Court 1400 North Ave.,CR,2003-11-21,698860,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036002165006,STATEMENT OF CHARGES,2003-11-21,11/21/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01572186,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-09,698956,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046003101395,STATEMENT OF CHARGES,2004-01-09,01/09/2004,CLOSED,TRIAL,2004
0B01572837,Baltimore City District Court 700 Patapsco Ave.,CR,2003-11-18,407450,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001165686,STATEMENT OF CHARGES,2003-11-18,11/18/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01575616,Baltimore City District Court 1400 North Ave.,CR,2004-01-20,411941,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001101731,STATEMENT OF CHARGES,2004-01-20,01/20/2004,CLOSED,JURY TRIAL PRAYED,2004
0B01575749,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-24,414226,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046003103904,STATEMENT OF CHARGES,2004-01-24,01/24/2004,CLOSED,TRIAL,2004
0B01575854,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-23,414102,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002104072,STATEMENT OF CHARGES,2004-01-23,01/23/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01576484,Baltimore City District Court 700 Patapsco Ave.,CR,2003-11-30,422190,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036005148874,STATEMENT OF CHARGES,2003-11-30,11/30/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01576918,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-16,422542,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046003121356,STATEMENT OF CHARGES,2004-05-16,05/16/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01584009,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-30,415464,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002105015,STATEMENT OF CHARGES,2004-01-30,01/30/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01584247,Baltimore City District Court 1400 North Ave.,CR,2004-01-30,699063,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001102722,STATEMENT OF CHARGES,2004-01-30,01/30/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01584457,Baltimore City District Court 5800 Wabash Ave,CR,2004-01-29,428345,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046000103365,STATEMENT OF CHARGES,2004-01-29,01/29/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01585997,Baltimore City District Court 1400 North Ave.,CR,2004-10-31,443204,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004142601,STATEMENT OF CHARGES,2004-10-31,10/31/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01586291,Baltimore City District Court 5800 Wabash Ave,CR,2004-01-15,410279,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046009100362,STATEMENT OF CHARGES,2004-01-15,01/15/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01586592,Baltimore City District Court 1400 North Ave.,CR,2004-01-03,425494,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002100550,STATEMENT OF CHARGES,2004-01-03,01/03/2004,CLOSED,TRIAL,2004
