trafficid,chargeid,describe35,describe70,describe100,date_begin,date_end,article,section,subsec,paragraph,code,fine,finetype,mod_date,new_date,last_revised,scrape_date
2006,5577,KNOWINGLY FURNISH MOTOR VEHICLE WIT,KNOWINGLY FURNISH MOTOR VEHICLE WITHOUT INTERLOCK SYSTEM TO PROHIBITED,KNOWINGLY FURNISH MOTOR VEHICLE WITHOUT INTERLOCK SYSTEM TO PROHIBITED PERSON,1988-07-01,1990-07-10,27,,107,g,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2007,20769,PROHIBITED ACTS-MOTOR FUEL,PROHIBITED ACTS-MOTOR FUEL,PROHIBITED ACTS-MOTOR FUEL,NA,1986-07-01,27,,231,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2007,5578,PROHIBITED ACTS-MOTOR FUEL,PROHIBITED ACTS-MOTOR FUEL,PROHIBITED ACTS-MOTOR FUEL,1981-07-01,1986-06-30,27,,231,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2008,20770,REQUIRED SIGNS AND LABELS-MOTOR OIL,REQUIRED SIGNS AND LABELS-MOTOR OIL,REQUIRED SIGNS AND LABELS-MOTOR OIL,NA,1986-07-01,27,,232,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2008,5579,REQUIRED SIGNS AND LABELS-MOTOR OIL,REQUIRED SIGNS AND LABELS-MOTOR OIL,REQUIRED SIGNS AND LABELS-MOTOR OIL,1981-07-01,1986-06-30,27,,232,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2009,20771,UNAUTHORIZED USE OF VEHICLE-CRIMINA,UNAUTHORIZED USE OF VEHICLE-CRIMINAL INTENT,UNAUTHORIZED USE OF VEHICLE-CRIMINAL INTENT,NA,1986-07-01,27,,349,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2009,5580,UNAUTHORIZED USE OF VEHICLE-CRIMINA,UNAUTHORIZED USE OF VEHICLE-CRIMINAL INTENT,UNAUTHORIZED USE OF VEHICLE-CRIMINAL INTENT,1985-07-01,1986-06-30,27,,349,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2010,20772,"MOTOR VEHICLE MASTER KEY, POSSESSIO","MOTOR VEHICLE MASTER KEY, POSSESSION OF","MOTOR VEHICLE MASTER KEY, POSSESSION OF",NA,1986-07-01,27,,349,a,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2010,5581,"MOTOR VEHICLE MASTER KEY, POSSESSIO","MOTOR VEHICLE MASTER KEY, POSSESSION OF","MOTOR VEHICLE MASTER KEY, POSSESSION OF",1985-07-01,1986-06-30,27,,349,a,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2011,20773,MANSLAUGHTER BY AUTOMOBILE,MANSLAUGHTER BY AUTOMOBILE,MANSLAUGHTER BY AUTOMOBILE,NA,1986-07-01,27,,388,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2011,5582,MANSLAUGHTER BY AUTOMOBILE,MANSLAUGHTER BY AUTOMOBILE,MANSLAUGHTER BY AUTOMOBILE,1985-07-01,1986-06-30,27,,388,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2012,20774,HOMICIDE BY MOTOR VEHICLE WHILE INT,HOMICIDE BY MOTOR VEHICLE WHILE INTOXICATED,HOMICIDE BY MOTOR VEHICLE WHILE INTOXICATED,NA,1986-07-01,27,,388,a,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2012,5583,HOMICIDE BY MOTOR VEHICLE WHILE INT,HOMICIDE BY MOTOR VEHICLE WHILE INTOXICATED,HOMICIDE BY MOTOR VEHICLE WHILE INTOXICATED,1985-07-01,1986-06-30,27,,388,a,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2013,20775,"(AVIATION, MOTOR) FUEL DEALER (SELL","(AVIATION, MOTOR) FUEL DEALER (SELL, RECEIVE, DISTRIBUTE) FUEL W/O LIC","(AVIATION, MOTOR) FUEL DEALER (SELL, RECEIVE, DISTRIBUTE) FUEL W/O LIC.",NA,1989-01-01,56,,140,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2013,5584,"(AVIATION, MOTOR) FUEL DEALER (SELL","(AVIATION, MOTOR) FUEL DEALER (SELL, RECEIVE, DISTRIBUTE) FUEL W/O LIC","(AVIATION, MOTOR) FUEL DEALER (SELL, RECEIVE, DISTRIBUTE) FUEL W/O LIC.",1981-07-01,1988-12-31,56,,140,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2014,20776,"(DEALER, SPECIAL FUEL USER, SPECIAL","(DEALER, SPECIAL FUEL USER, SPECIAL FUEL SELLER) FAILURE TO KEEP REQ.","(DEALER, SPECIAL FUEL USER, SPECIAL FUEL SELLER) FAILURE TO KEEP REQ. RECORDS FOR TWO YEARS",NA,1989-01-01,56,,144,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2014,5585,"(DEALER, SPECIAL FUEL USER, SPECIAL","(DEALER, SPECIAL FUEL USER, SPECIAL FUEL SELLER) FAILURE TO KEEP REQ.","(DEALER, SPECIAL FUEL USER, SPECIAL FUEL SELLER) FAILURE TO KEEP REQ. RECORDS FOR TWO YEARS",1981-07-01,1988-12-31,56,,144,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2015,20777,MOTOR VEH. FUEL DEALER ADVERTISING,MOTOR VEH. FUEL DEALER ADVERTISING PRODUCT THROUGH SCHEME OR DEVICE,MOTOR VEH. FUEL DEALER ADVERTISING PRODUCT THROUGH SCHEME OR DEVICE,NA,1989-01-01,56,,144,a,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2015,5586,MOTOR VEH. FUEL DEALER ADVERTISING,MOTOR VEH. FUEL DEALER ADVERTISING PRODUCT THROUGH SCHEME OR DEVICE,MOTOR VEH. FUEL DEALER ADVERTISING PRODUCT THROUGH SCHEME OR DEVICE,1981-07-01,1988-12-31,56,,144,a,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2016,20778,FAILURE BY PERSON PURCHASING FUEL F,FAILURE BY PERSON PURCHASING FUEL FOR RESALE TO KEEP REQ. RECORDS FOR,FAILURE BY PERSON PURCHASING FUEL FOR RESALE TO KEEP REQ. RECORDS FOR TWO YEARS,NA,1989-01-01,56,,145,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2016,5587,FAILURE BY PERSON PURCHASING FUEL F,FAILURE BY PERSON PURCHASING FUEL FOR RESALE TO KEEP REQ. RECORDS FOR,FAILURE BY PERSON PURCHASING FUEL FOR RESALE TO KEEP REQ. RECORDS FOR TWO YEARS,1986-07-01,1988-12-31,56,,145,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2017,20779,FAILURE ON SELLING MOTOR VEH. USING,FAILURE ON SELLING MOTOR VEH. USING OTHER THAN GASOLINE FILE REQUIRED,FAILURE ON SELLING MOTOR VEH. USING OTHER THAN GASOLINE FILE REQUIRED STATEMENT,NA,1986-07-01,56,,146,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2017,5588,FAILURE ON SELLING MOTOR VEH. USING,FAILURE ON SELLING MOTOR VEH. USING OTHER THAN GASOLINE FILE REQUIRED,FAILURE ON SELLING MOTOR VEH. USING OTHER THAN GASOLINE FILE REQUIRED STATEMENT,1981-07-01,1986-06-30,56,,146,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2018,20780,FAILURE PETROLEUM TRANSPORTER REG.,FAILURE PETROLEUM TRANSPORTER REG. WITH COMPTROLLER,FAILURE PETROLEUM TRANSPORTER REG. WITH COMPTROLLER,NA,1985-07-01,56,,148,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2018,5589,FAILURE PETROLEUM TRANSPORTER REG.,FAILURE PETROLEUM TRANSPORTER REG. WITH COMPTROLLER,FAILURE PETROLEUM TRANSPORTER REG. WITH COMPTROLLER,1981-07-01,1985-06-30,56,,148,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2019,20781,FAIL OF PETROLEUM TRANSPORTER TO (R,"FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANS","FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANSPORTING CONVEYANCES W/COMPTRLR",NA,1992-10-01,56,,148,b,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2019,5591,FAIL OF PETROLEUM TRANSPORTER TO (R,"FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANS","FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANSPORTING CONVEYANCES W/COMPTRLR",1988-07-01,1991-06-30,56,,148,b,,205,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2019,5590,FAIL OF PETROLEUM TRANSPORTER TO (R,"FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANS","FAIL OF PETROLEUM TRANSPORTER TO (REGISTER,NOTIFY OF REQ CHANGES)TRANSPORTING CONVEYANCES W/COMPTRLR",1991-07-01,1992-09-30,56,,148,b,,210,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2020,20782,"PLACING PETROLEUM PRODUCTS (IN,ON)","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER",NA,1992-10-01,56,,148,c,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2020,5593,"PLACING PETROLEUM PRODUCTS (IN,ON)","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER",1988-07-01,1991-06-30,56,,148,c,,205,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2020,5592,"PLACING PETROLEUM PRODUCTS (IN,ON)","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER","PLACING PETROLEUM PRODUCTS (IN,ON) VEH. NOT DISPLAYING VALID ID MARKER",1991-07-01,1992-09-30,56,,148,c,,210,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2021,20783,PETROLEUM PRODUCTS TRANSPORTER TO H,PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOAD,"PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOADING TICKET, MANIFEST)",NA,1992-10-01,56,,148,d,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2021,5595,PETROLEUM PRODUCTS TRANSPORTER TO H,PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOAD,"PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOADING TICKET, MANIFEST)",1988-07-01,1991-06-30,56,,148,d,,55,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
2021,5594,PETROLEUM PRODUCTS TRANSPORTER TO H,PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOAD,"PETROLEUM PRODUCTS TRANSPORTER TO HAVE IN POSSESSION AND DELIVER (LOADING TICKET, MANIFEST)",1991-07-01,1992-09-30,56,,148,d,,60,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
2022,20784,FAILURE HAVE COPY LOADING TICKET/MA,FAILURE HAVE COPY LOADING TICKET/MANIFEST IN POSSESSION,FAILURE HAVE COPY LOADING TICKET/MANIFEST IN POSSESSION,NA,1986-07-01,56,,148,d,A,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2022,5596,FAILURE HAVE COPY LOADING TICKET/MA,FAILURE HAVE COPY LOADING TICKET/MANIFEST IN POSSESSION,FAILURE HAVE COPY LOADING TICKET/MANIFEST IN POSSESSION,1985-07-01,1986-06-30,56,,148,d,A,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2023,20785,FAILURE DELIVER COPY TICKET/MANIFES,FAILURE DELIVER COPY TICKET/MANIFEST TO PURCHASER/CONSIGNEE PETROLEUM,FAILURE DELIVER COPY TICKET/MANIFEST TO PURCHASER/CONSIGNEE PETROLEUM PRODUCTS,NA,1986-07-01,56,,148,d,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2023,5597,FAILURE DELIVER COPY TICKET/MANIFES,FAILURE DELIVER COPY TICKET/MANIFEST TO PURCHASER/CONSIGNEE PETROLEUM,FAILURE DELIVER COPY TICKET/MANIFEST TO PURCHASER/CONSIGNEE PETROLEUM PRODUCTS,1985-07-01,1986-06-30,56,,148,d,B,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2024,20786,FAILURE OF PETROLEUM TRANSPORTER TO,"FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIR","FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIRED BY COMPTROLLER",NA,1992-10-01,56,,148,e,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2024,5599,FAILURE OF PETROLEUM TRANSPORTER TO,"FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIR","FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIRED BY COMPTROLLER",1988-07-01,1991-06-30,56,,148,e,,55,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2024,5598,FAILURE OF PETROLEUM TRANSPORTER TO,"FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIR","FAILURE OF PETROLEUM TRANSPORTER TO (REPORT, RETAIN) RECORDS AS REQUIRED BY COMPTROLLER",1991-07-01,1992-09-30,56,,148,e,,60,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2025,20787,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS REGISTERED W/THE COMPTROLLER,NA,1992-10-01,56,,148,f,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2025,5601,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS REGISTERED W/THE COMPTROLLER,1988-07-01,1991-06-30,56,,148,f,,55,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2025,5600,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS,FAILURE OF PETROLEUM TRANSPORTER TO IDENTIFY NAME OF OWNER ON TANK AS REGISTERED W/THE COMPTROLLER,1991-07-01,1992-09-30,56,,148,f,,60,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2026,20788,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED G,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED GALLONAGE CAPACITY CERT.,NA,1992-10-01,56,,148,g,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2026,5603,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED G,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED GALLONAGE CAPACITY CERT.,1988-07-01,1991-06-30,56,,148,g,,255,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2026,5602,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED G,FAILURE OF PETROLEUM TRANSPORTER TO MAINTAIN FOR INSPECTION REQUIRED GALLONAGE CAPACITY CERT.,1991-07-01,1992-09-30,56,,148,g,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2027,20789,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LAB,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LABELLING REGS.,NA,1992-10-01,56,,148,g3,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2027,5605,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LAB,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LABELLING REGS.,1988-07-01,1991-06-30,56,,148,g3,,205,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2027,5604,FAILURE OF PETROLEUM TRANSPORTER TO,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LAB,FAILURE OF PETROLEUM TRANSPORTER TO COMPLY WITH HAZARDOUS MATERIAL LABELLING REGS.,1991-07-01,1992-09-30,56,,148,g3,,210,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2028,20790,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/O LIC.,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/O LIC.,NA,1986-07-01,56,,150,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2028,5606,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/O LIC.,RECEIVE/SELL/DISTRIBUTE FUEL OIL W/O LIC.,1985-07-01,1986-06-30,56,,150,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2029,20791,RECEIVING MOTOR VEHICLE FUEL/OIL W/,RECEIVING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,RECEIVING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,NA,1988-07-01,56,,150,,A,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2029,5607,RECEIVING MOTOR VEHICLE FUEL/OIL W/,RECEIVING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,RECEIVING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,1985-07-01,1988-06-30,56,,150,,A,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2030,20792,SELLING MOTOR VEHICLE FUEL/OIL W/O,SELLING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,SELLING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,NA,1986-07-01,56,,150,,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2030,5608,SELLING MOTOR VEHICLE FUEL/OIL W/O,SELLING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,SELLING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,1985-07-01,1986-06-30,56,,150,,B,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2031,20793,DISTRIBUTING MOTOR VEHICLE FUEL/OIL,DISTRIBUTING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,DISTRIBUTING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,NA,1986-07-01,56,,150,,C,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2031,5609,DISTRIBUTING MOTOR VEHICLE FUEL/OIL,DISTRIBUTING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,DISTRIBUTING MOTOR VEHICLE FUEL/OIL W/O REQUIRED LIC.,1985-07-01,1986-06-30,56,,150,,C,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2032,20794,SELLING/GIVING/DELIVERING MOTOR VEH,SELLING/GIVING/DELIVERING MOTOR VEH. FUEL TO OTHER THAN AIRCRAFT W/O C,SELLING/GIVING/DELIVERING MOTOR VEH. FUEL TO OTHER THAN AIRCRAFT W/O COLLECTING TAX,NA,1986-07-01,56,,151,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2032,5610,SELLING/GIVING/DELIVERING MOTOR VEH,SELLING/GIVING/DELIVERING MOTOR VEH. FUEL TO OTHER THAN AIRCRAFT W/O C,SELLING/GIVING/DELIVERING MOTOR VEH. FUEL TO OTHER THAN AIRCRAFT W/O COLLECTING TAX,1981-07-01,1986-06-30,56,,151,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2033,20795,"(SELLING, GIVING, DELIVERING)(AVIAT","(SELLING, GIVING, DELIVERING)(AVIATION GASOLINE, TURBINE FUEL) FOR USE","(SELLING, GIVING, DELIVERING)(AVIATION GASOLINE, TURBINE FUEL) FOR USE IN AIRCRAFT W/O COLLECT TAX",NA,1989-01-01,56,,151,b,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2033,5611,"(SELLING, GIVING, DELIVERING)(AVIAT","(SELLING, GIVING, DELIVERING)(AVIATION GASOLINE, TURBINE FUEL) FOR USE","(SELLING, GIVING, DELIVERING)(AVIATION GASOLINE, TURBINE FUEL) FOR USE IN AIRCRAFT W/O COLLECT TAX",1986-07-01,1988-12-31,56,,151,b,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2034,20796,"FALSE APPLICATION FOR TAX REFUND, C","FALSE APPLICATION FOR TAX REFUND, COLLECTING TAX REFUND W/O ENTITLEMEN","FALSE APPLICATION FOR TAX REFUND, COLLECTING TAX REFUND W/O ENTITLEMENT",NA,1989-01-01,56,,153,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2034,5612,"FALSE APPLICATION FOR TAX REFUND, C","FALSE APPLICATION FOR TAX REFUND, COLLECTING TAX REFUND W/O ENTITLEMEN","FALSE APPLICATION FOR TAX REFUND, COLLECTING TAX REFUND W/O ENTITLEMENT",1986-07-01,1988-12-31,56,,153,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2035,20797,FAILING FURNISH/GIVING INCORRECT/MI,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,NA,1985-07-01,56,,156,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2035,5613,FAILING FURNISH/GIVING INCORRECT/MI,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,1981-07-01,1985-06-30,56,,156,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2036,20798,FAILING FURNISH/GIVING INCORRECT/MI,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,NA,1986-07-01,56,,156B,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2036,5614,FAILING FURNISH/GIVING INCORRECT/MI,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,FAILING FURNISH/GIVING INCORRECT/MISLEADING INFO. INTENT EVADE,1985-07-01,1986-06-30,56,,156B,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
